id_produit,forecasted_quantity,forecast_method,confidence_level,segment
43915,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43914,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43913,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43912,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31550,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
43905,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31335,6,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
42615,5,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31786,5,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
38719,5,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
34210,5,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31338,5,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
31336,5,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
42663,5,Weighted MA (14d),MEDIUM,B_VERY_HIGH_FREQ_LOW_VOL
